id,school
96,George Washington
251,Saint Joseph's
240,Rhode Island
277,St. Bonaventure
64,Dayton
242,Richmond
137,La Salle
252,Saint Louis
91,Fordham
333,VCU
63,Davidson
95,George Mason
151,Loyola Chicago
200,North Carolina
72,Duke
185,NC State
339,Virginia
342,Wake Forest
52,Clemson
101,Georgia Tech
90,Florida State
168,Miami
340,Virginia Tech
26,Boston College
286,Syracuse
213,Notre Dame
229,Pittsburgh
150,Louisville
248,SMU
281,Stanford
40,California
283,Stetson
127,Jacksonville
143,Lipscomb
88,Florida Gulf Coast
203,North Florida
197,North Alabama
78,Eastern Kentucky
21,Bellarmine
362,Queens University
17,Austin Peay
43,Central Arkansas
346,West Georgia
337,Vermont
154,Maine
190,New Hampshire
306,UAlbany
317,UMBC
24,Binghamton
318,UMass Lowell
31,Bryant
186,NJIT
163,Memphis
289,Temple
304,Tulsa
271,South Florida
352,Wichita State
74,East Carolina
303,Tulane
86,Florida Atlantic
305,UAB
204,North Texas
48,Charlotte
241,Rice
328,UTSA
131,Kansas
218,Oklahoma State
20,Baylor
125,Iowa State
132,Kansas State
298,Texas Tech
347,West Virginia
287,TCU
113,Houston
18,BYU
51,Cincinnati
312,UCF
11,Arizona
331,Utah
10,Arizona State
338,Villanova
97,Georgetown
279,St. John's
235,Providence
263,Seton Hall
157,Marquette
61,Creighton
359,Xavier
65,DePaul
34,Butler
345,Weber State
179,Montana
180,Montana State
116,Idaho State
206,Northern Arizona
80,Eastern Washington
231,Portland State
207,Northern Colorado
249,Sacramento State
354,Winthrop
239,Radford
319,UNC Asheville
47,Charleston Southern
109,High Point
94,Gardner-Webb
147,Longwood
233,Presbyterian
268,South Carolina Upstate
236,Purdue
121,Indiana
118,Illinois
216,Ohio State
124,Iowa
355,Wisconsin
173,Minnesota
170,Michigan
169,Michigan State
212,Northwestern
226,Penn State
160,Maryland
188,Nebraska
245,Rutgers
223,Oregon
313,UCLA
323,USC
343,Washington
145,Long Beach State
308,UC Irvine
37,Cal State Fullerton
35,Cal Poly
38,Cal State Northridge
309,UC Riverside
307,UC Davis
108,Hawai'i
310,UC San Diego
36,Cal State Bakersfield
321,UNC Wilmington
353,William & Mary
110,Hofstra
71,Drexel
205,Northeastern
46,Charleston
81,Elon
285,Stony Brook
178,Monmouth
106,Hampton
198,North Carolina A&T
41,Campbell
327,UTEP
149,Louisiana Tech
171,Middle Tennessee
350,Western Kentucky
89,Florida International
142,Liberty
255,Sam Houston
128,Jacksonville State
192,New Mexico State
133,Kennesaw State
69,Detroit Mercy
357,Wright State
105,Green Bay
172,Milwaukee
53,Cleveland State
361,Youngstown State
214,Oakland
210,Northern Kentucky
237,Purdue Fort Wayne
115,IU Indianapolis
244,Robert Morris
234,Princeton
227,Pennsylvania
360,Yale
58,Columbia
60,Cornell
62,Dartmouth
107,Harvard
30,Brown
123,Iona
254,Saint Peter's
83,Fairfield
155,Manhattan
264,Siena
194,Niagara
42,Canisius
243,Rider
156,Marist
238,Quinnipiac
183,Mount St. Mary's
166,Merrimack
250,Sacred Heart
215,Ohio
300,Toledo
167,Miami (OH)
134,Kent State
28,Bowling Green
351,Western Michigan
19,Ball State
79,Eastern Michigan
45,Central Michigan
3,Akron
33,Buffalo
267,South Carolina State
114,Howard
67,Delaware State
59,Coppin State
182,Morgan State
196,Norfolk State
159,Maryland Eastern Shore
199,North Carolina Central
273,Southern Illinois
119,Illinois State
122,Indiana State
209,Northern Iowa
82,Evansville
335,Valparaiso
22,Belmont
184,Murray State
315,UIC
257,San Diego State
322,UNLV
191,New Mexico
57,Colorado State
358,Wyoming
2,Air Force
